word,count
man,611
play,512
king,495
lady,355
scene,354
septimus,341
love,321
nothing,321
old,314
life,285
mr.,282
desdemona,279
father,272
act,264
pause,263
flint,251
book,249
valentine,242
cecily,237
prospero,235
men,231
gloucester,229
electra,228
sir,224
miss,221
