word,count
man,2088
people,1262
old,1254
eyes,1179
case,1067
face,1024
head,965
hiro,907
hand,895
turned,779
voice,719
dark,717
nothing,700
looking,681
night,670
door,669
itʼs,668
gone,662
black,655
place,653
sure,643
maybe,638
big,633
hands,631
across,619
