word,count
address,2420
message,2259
example,2118
data,2066
figure,1771
exim,1642
value,1550
network,1510
chapter,1504
option,1468
router,1455
$,1434
list,1431
ip,1419
number,1380
table,1341
+,1173
command,1148
addresses,1130
messages,1103
image,1090
host,1060
bits,1059
ipx,1046
string,1043
