word,count
people,1033
life,949
world,563
gray,516
others,470
man,418
freedom,391
person,355
peace,349
someone,347
lord,331
picture,328
love,317
wilde,309
quote,308
nothing,305
work,300
free,298
government,288
nature,281
everything,254
live,250
trap,238
change,236
thinking,227
