word,count
people,1785
students,1573
school,1381
states,1032
ﬁ,1023
world,1019
learning,1002
war,950
children,900
person,895
united,889
american,801
city,796
life,790
teacher,773
group,757
work,747
schools,721
words,690
teachers,690
example,675
part,674
called,659
century,650
education,612
