word,count
witness,1611
evidence,1209
dialogue,1183
man,1118
mr.,1084
case,985
argument,960
testimony,915
black,851
african,756
argumentation,749
trial,700
old,673
slave,640
information,622
kind,591
questions,565
question,546
poirot,538
spanish,521
place,515
room,510
side,505
africa,503
american,502
