word,count
life,1150
people,994
feel,737
child,719
man,618
love,616
work,541
adult,495
person,482
parent,436
living,398
help,387
world,373
worry,359
mother,354
home,340
someone,339
others,328
children,324
try,310
experience,303
night,301
depression,300
mind,294
fact,293
