word,count
man,1209
junior,1147
nate,1144
people,1075
old,1057
room,981
marek,884
chris,863
knew,861
head,851
eyes,847
taylor,824
boy,811
hand,802
door,792
life,762
nothing,760
sure,726
face,719
turned,717
heard,694
casey,689
andy,674
alice,665
maybe,664
