word,count
women,2084
men,1948
man,1794
woman,1353
love,1079
people,977
sex,902
feel,832
brain,776
need,634
feelings,599
male,598
company,547
talk,504
needs,498
work,497
female,490
business,440
relationship,430
someone,425
differences,415
life,393
agree,391
strongly,376
boys,372
