word,count
women,2168
wife,987
husband,726
wives,647
woman,647
marriage,622
victor,557
ﬁ,530
men,485
children,442
work,435
home,427
married,423
people,420
life,415
family,407
mother,399
house,385
american,341
love,332
man,320
father,317
war,252
world,251
female,251
