word,count
child,1519
mental,1479
nature,1083
people,1009
unconscious,958
life,945
man,926
children,859
mind,745
god,734
world,698
work,659
illness,610
social,582
conscious,556
brain,523
individual,512
media,505
human,503
need,503
person,492
example,489
certain,485
psychology,482
become,470
