word,count
people,1556
state,1113
true,1111
machine,1082
body,1044
form,964
god,928
world,915
man,915
life,877
human,874
believe,870
war,866
moral,837
point,827
brain,789
person,782
question,773
example,718
rather,717
line,707
nothing,706
wrong,656
states,655
mind,649
