word,count
iraq,2452
saddam,1798
government,1436
states,1270
people,1254
united,1207
iraqi,1146
war,948
u.s.,912
$,699
military,643
forces,613
regime,549
security,534
bush,534
american,531
power,513
world,508
air,487
gulf,479
force,456
federal,423
america,422
offer,418
policy,416
