word,count
eyes,892
file,835
\documents0and0settings\nickunj\desktop\di,819
ana0gabaldon0,819
dain,807
head,741
hand,646
room,612
man,610
face,608
father,595
mac,531
love,499
door,486
old,480
hands,478
mother,471
house,455
life,446
hair,432
fee,425
wanted,424
justine,420
enough,415
home,409
