word,count
imperial,1132
clothing,1044
und,963
models,915
model,878
navajo,835
emperor,802
ﬁ,772
work,767
empire,641
wool,623
ford,552
agency,551
girls,532
people,522
fashion,520
design,519
weaving,497
paris,464
old,434
order,433
women,431
planning,428
production,428
king,427
