word,count
image,4586
camera,3022
color,2190
photography,1809
figure,1789
images,1723
digital,1697
light,1468
print,1124
exposure,1104
chapter,1099
work,1077
tool,967
contrast,960
layer,953
photoshop,933
white,901
file,870
photographs,810
lens,786
raw,758
art,705
pictures,704
cameras,674
need,653
